Feature,Importance
maxsssssP,0.0
minddssSe,0.0
maxdsssP,0.0
maxssssGe,0.0
maxsssGeH,0.0
maxssBH,0.0
mindSe,0.0
minssssPb,0.0
minsssPbH,0.0
minssPbH2,0.0
minsPbH3,0.0
maxddsP,0.0
minaaS,0.0
minsssssP,0.0
minddsP,0.0
n10HeteroRing,0.0
n11HeteroRing,0.0
nFHeteroRing,0.0
nTHeteroRing,0.0
minsSiH3,0.0
nF5Ring,0.0
minddsAs,0.0
minssAsH,0.0
minsAsH2,0.0
minssssGe,0.0
nF5HeteroRing,0.0
maxaaSe,0.0
maxHaaNH,0.0
maxHmisc,0.0
maxHAvin,0.0
maxHaaCH,0.0
maxssssBm,0.0
maxsssB,0.0
ETA_BetaP_ns_d,0.0
ETA_Beta_ns_d,0.0
nssPbH2,0.0
maxssssssSe,0.0
maxdssSe,0.0
minssssSn,0.0
maxssSe,0.0
minsSnH3,0.0
maxHssNH2p,0.0
maxssssBem,0.0
maxssBe,0.0
maxsLi,0.0
maxddC,0.0
maxaaCH,0.0
SssssBm,0.0
maxsPbH3,0.0
maxssssSn,0.0
maxsssSnH,0.0
maxssssPb,0.0
maxsssPbH,0.0
maxssPbH2,0.0
minsssP,0.0
minsssGeH,0.0
maxsssP,0.0
minsGeH3,0.0
minSm,0.0
minssssssS,0.0
minsSeH,0.0
minssSe,0.0
n11Ring,0.0
n10Ring,0.0
minsssSiH,0.0
minssssSi,0.0
minsPH2,0.0
minssPH,0.0
minaasN,0.0
minsssssAs,0.0
minaOm,0.0
minaaO,0.0
minssGeH2,0.0
minsssSnH,0.0
minssSnH2,0.0
minssSiH2,0.0
maxssPH,0.0
maxsPH2,0.0
maxssssSi,0.0
maxsssSiH,0.0
maxssSiH2,0.0
maxsSiH3,0.0
maxaaaC,0.0
maxaasC,0.0
maxddsN,0.0
maxaaN,0.0
maxaaNH,0.0
maxaOm,0.0
maxsBH2,0.0
maxaasN,0.0
SddsP,0.0
SssPH,0.0
SsGeH3,0.0
maxssNH2p,0.0
maxddsAs,0.0
maxdsssAs,0.0
maxsssAs,0.0
maxssAsH,0.0
maxsAsH2,0.0
maxssSnH2,0.0
maxsSnH3,0.0
SaasN,0.0
SsssSiH,0.0
SsSiH3,0.0
maxaaO,0.0
minaaN,-1.0164395367051604e-20
minssssBem,-1.8973538018496328e-19
minssNH2p,-2.168404344971009e-19
SssAsH,-2.168404344971009e-19
SsSeH,-2.168404344971009e-19
SdSe,-3.2526065174565133e-19
minssBH,-3.7947076036992655e-19
minaaNH,-5.421010862427522e-19
SsssssAs,-5.963111948670274e-19
minaaaC,-6.505213034913027e-19
minHssNH2p,-1.0299920638612292e-18
minsssB,-1.8431436932253575e-18
minHAvin,-2.0057740190981832e-18
SsssGeH,-2.168404344971009e-18
SssssSn,-2.5478751053409354e-18
SssGeH2,-2.6020852139652106e-18
SsPbH3,-2.7647155398380363e-18
SsSnH3,-2.9815559743351372e-18
SddssSe,-4.0115480381963664e-18
SddsAs,-4.194507154803295e-18
SsAsH2,-5.204170427930421e-18
SssssssSe,-5.312590645178972e-18
SssssGe,-6.7220534694101275e-18
nsssssP,-6.938893903907228e-18
SHAvin,-1.3877787807814457e-17
ndSe,-1.3877787807814457e-17
nddC,-2.6020852139652106e-17
SaaaC,-2.7755575615628914e-17
SsssP,-2.7755575615628914e-17
nsssssAs,-2.7755575615628914e-17
nssAsH,-2.7755575615628914e-17
SssssssS,-2.7755575615628914e-17
SssssSi,-2.7755575615628914e-17
nssssSn,-3.122502256758253e-17
SaOm,-3.122502256758253e-17
nsPH2,-3.122502256758253e-17
SaaNH,-4.163336342344337e-17
SssBH,-4.163336342344337e-17
nsssP,-4.163336342344337e-17
naaaC,-4.85722573273506e-17
nssNH2p,-4.85722573273506e-17
SaasC,-5.204170427930421e-17
nssssssSe,-5.551115123125783e-17
SaaN,-5.551115123125783e-17
SsLi,-5.551115123125783e-17
nsssSiH,-5.551115123125783e-17
SssSiH2,-6.938893903907228e-17
nsGeH3,-7.632783294297951e-17
naaSe,-7.632783294297951e-17
SddsN,-8.326672684688674e-17
SsBH2,-8.326672684688674e-17
SssBe,-8.326672684688674e-17
nssssssS,-9.71445146547012e-17
nddsN,-1.0408340855860843e-16
naasN,-1.1102230246251565e-16
nsPbH3,-1.1796119636642288e-16
nssPH,-1.3877787807814457e-16
nddssSe,-1.5265566588595902e-16
SHmisc,-1.6653345369377348e-16
naaCH,-1.721713049906981e-16
nHssNH2p,-1.8735013540549517e-16
nsssSnH,-2.0469737016526324e-16
naaS,-2.1510571102112408e-16
nssBe,-2.220446049250313e-16
nssssSi,-2.2898349882893854e-16
SHssNH2p,-2.7582103268031233e-16
SHaaNH,-3.3306690738754696e-16
nsssGeH,-3.5041414214731503e-16
nsAsH2,-4.163336342344337e-16
nssBH,-5.551115123125783e-16
WPATH,-5.023134685977482e-13
CID,-8.788646586620293e-10
naAromAtom,-4.4241022846813185e-07
nB,-1.0585292514601104e-06
topoDiameter,-3.610701804820666e-06
ndsssAs,-9.625883212512973e-05
MDEC-33,-0.00021912356270623046
SdNH,-0.0003302101806986423
mindNH,-0.00033021018069864924
maxdNH,-0.00033021018069864924
minHBa,-0.0005461042225248379
MDEC-14,-0.0006125271325098633
maxHBint5,-0.0006298143091511737
nHBAcc2,-0.0006570110078008189
minHBint5,-0.0007152839201707068
nT6Ring,-0.0008061971595012037
nHBint6,-0.0008761628942870227
McGowan_Volume,-0.0011717925245928725
ATSp4,-0.0012550882116930135
nHdNH,-0.0013330803840982807
ndNH,-0.0013330803840995338
minHBint2,-0.0014159054744600033
ntsC,-0.001801176890741413
SHBint4,-0.001953711674514441
ATSp2,-0.002394558458398019
ATSm4,-0.002477530858607793
SHBint5,-0.002606339628412729
CrippenMR,-0.0028891842149564445
ETA_Alpha,-0.0028928331726704322
ETA_EtaP_B_RC,-0.0029267221124539963
ALogP,-0.0031874490867063792
nG12HeteroRing,-0.003344189481859944
nG12Ring,-0.003344189481859944
VABC,-0.0033453888449935035
SCH-5,-0.003585987889181761
minsSH,-0.0035877763094430445
minHBint7,-0.0036843924501131853
nHBAcc_Lipinski,-0.003691502648657815
ETA_Beta,-0.0037477975923026867
ALogp2,-0.0037857306011113675
SHBint7,-0.003788185089971487
MDEC-12,-0.004003176868692633
maxHBint10,-0.004246890199247122
ETA_EtaP_B,-0.004310430662601476
SdsN,-0.0044073111450232
StN,-0.0044084243369352655
nsOm,-0.004420229624522275
SHBint3,-0.004622897307572468
minsssAs,-0.0048538323468592165
SHBint8,-0.004879602070512287
maxHdsCH,-0.005067769069064567
nHBAcc3,-0.00516133445560883
maxsSH,-0.005232087712918047
AMR,-0.005272704040572014
SHBint9,-0.005734878888539586
nsBr,-0.0058152460112738495
